"","bookthumburl","booktitle"
"1","https://bookthumb-phinf.pstatic.net/cover/179/822/17982214.jpg?type=m106&udate=20210305","유하다요의 10시간 일본어 첫걸음"
"2","https://bookthumb-phinf.pstatic.net/cover/163/691/16369107.jpg?type=m106&udate=20210305","2021 에듀윌 한국실용글쓰기 2주끝장"
"3","https://bookthumb-phinf.pstatic.net/cover/163/488/16348850.jpg?type=m106&udate=20210305","GO! 독학 러시아어첫걸음"
"4","https://bookthumb-phinf.pstatic.net/cover/162/744/16274410.jpg?type=m106&udate=20210305","파불라도케트(반양장)"
"5","https://bookthumb-phinf.pstatic.net/cover/154/327/15432708.jpg?type=m106&udate=20210305","GO! 독학 독일어 단어장"
"6","https://bookthumb-phinf.pstatic.net/cover/143/426/14342664.jpg?type=m106&udate=20210305","해커스 토익 기출 보카 TOEIC VOC.."
"7","https://bookthumb-phinf.pstatic.net/cover/132/727/13272700.jpg?type=m106&udate=20210305","가장 쉬운 독학 프랑스어 첫걸음"
"8","https://bookthumb-phinf.pstatic.net/cover/125/564/12556429.jpg?type=m106&udate=20210305","나혼자 끝내는 독학스페인어 첫걸음"
"9","https://bookthumb-phinf.pstatic.net/cover/098/990/09899048.jpg?type=m106&udate=20210305","New 맛있는 어린이중국어 3"
"10","https://bookthumb-phinf.pstatic.net/cover/063/671/06367139.jpg?type=m106&udate=20210305","종합 이탈리아어 핵심문법"
